,account_value,date,daily_return,datadate
217,757594.4274187419,2022-11-11,0.0003518785599287,2022-11-11
218,748032.7972193095,2022-11-14,-0.0126210408278879,2022-11-14
219,746925.1091471049,2022-11-15,-0.0014808014786547,2022-11-15
220,750823.6410150859,2022-11-16,0.0052194414409667,2022-11-16
221,749123.6959314677,2022-11-17,-0.0022641070296079,2022-11-17
222,756543.0108805033,2022-11-18,0.0099039918098042,2022-11-18
223,756831.1754618022,2022-11-21,0.0003808964951819,2022-11-21
224,766965.975148234,2022-11-22,0.0133910970042265,2022-11-22
225,769987.9738169047,2022-11-23,0.00394019913085,2022-11-23
226,775087.4613924357,2022-11-25,0.0066228145749502,2022-11-25
227,764094.187157664,2022-11-28,-0.0141832693500452,2022-11-28
228,762686.6385164591,2022-11-29,-0.0018421140546046,2022-11-29
229,784264.8638925883,2022-11-30,0.0282923867895497,2022-11-30
230,780039.3830271098,2022-12-01,-0.0053878237570225,2022-12-01
231,780610.820927653,2022-12-02,0.00073257570448,2022-12-02
232,770173.2609796855,2022-12-05,-0.0133710162197904,2022-12-05
233,764817.8266420695,2022-12-06,-0.0069535448826199,2022-12-06
234,766528.0062036845,2022-12-07,0.002236061323418,2022-12-07
235,770684.2125749919,2022-12-08,0.0054221193976871,2022-12-08
236,764716.7450380656,2022-12-09,-0.0077430774363314,2022-12-09
237,777418.6732797953,2022-12-12,0.0166099779090065,2022-12-12
238,779147.1700678202,2022-12-13,0.0022233795603758,2022-12-13
239,774986.7627840373,2022-12-14,-0.0053396937621179,2022-12-14
240,759513.4971285197,2022-12-15,-0.0199658450938334,2022-12-15
241,750449.8634004924,2022-12-16,-0.011933472890599,2022-12-16
242,746424.8889398905,2022-12-19,-0.0053634155416639,2022-12-19
243,745785.2305574748,2022-12-20,-0.0008569628262586,2022-12-20
244,753984.106537852,2022-12-21,0.0109936153793881,2022-12-21
245,748628.8065309855,2022-12-22,-0.0071026696192004,2022-12-22
246,752559.3906298014,2022-12-23,0.0052503778434997,2022-12-23
247,752662.1434526774,2022-12-27,0.0001365378256592,2022-12-27
248,744881.6928606364,2022-12-28,-0.010337241828518,2022-12-28
249,752212.4570322367,2022-12-29,0.0098415147557826,2022-12-29
250,749916.1698618266,2022-12-30,-0.0030527109049348,2022-12-30
251,747119.1915903422,2023-01-03,-0.0037297212460423,2023-01-03
